Step;Species;DeathCause;Age;Speed;Sight;ReproductiveUrge;LifeSpan;Charm;PregnancyDuration;Status;Starving;Drying
4;Bunny;Drowned;2,005;5,832284;30;33;5,19249;37;54;SEARCH_MATE;18;37
5;Bunny;Drowned;2,505;9,913906;66;31;5,606249;20;45;SEARCH_MATE;32;32
6;Bunny;Drowned;2,505;8,89698;58;32;4,976673;39;40;SEARCH_MATE;44;38
12;Bunny;Drowned;3,505;6,302166;31;30;5,153913;43;55;SEARCH_FOOD;44;39
12;Bunny;Hunger;4,005;9,376569;62;35;4,08027;96;42;MOVE_TOWARDS;41;30
12;Bunny;Hunger;4,005;9,707911;62;39;5,813004;82;44;MOVE_TOWARDS;33;32
12;Bunny;Hunger;4,005;9,414442;51;38;5,055616;59;49;REST;15;30
12;Bunny;Hunger;4,005;9,696102;65;33;4,529856;23;49;MOVE_TOWARDS;27;37
12;Bunny;Hunger;4,005;9,168438;54;46;4,076488;67;38;SEARCH_FOOD;37;38
12;Bunny;Hunger;4,005;8,826234;62;42;4,028571;77;54;MOVE_TOWARDS;27;38
12;Bunny;Hunger;4,005;9,534745;52;34;5,389457;35;38;SEARCH_FOOD;19;33
12;Bunny;Hunger;4,005;8,670287;44;41;4,328402;84;49;WAIT;10;39
12;Bunny;Hunger;4,005;8,24066;42;48;4,480197;58;47;MOVE_TOWARDS;36;32
12;Bunny;Hunger;4,005;8,121514;40;38;4,070052;89;32;WAIT;34;32
12;Bunny;Hunger;4,005;8,486218;31;46;5,063843;87;52;SEARCH_FOOD;44;34
12;Bunny;Hunger;4,005;9,023325;32;48;4,609382;93;38;WAIT;18;32
12;Bunny;Hunger;4,005;9,31036;43;49;4,531453;30;42;MOVE_TOWARDS;27;38
12;Bunny;Hunger;4,005;9,283526;58;42;4,402469;97;43;MOVE_TOWARDS;25;37
12;Bunny;Hunger;4,005;7,254811;59;30;4,626608;59;41;MOVE_TOWARDS;42;38
