Step	DeathCause	Age	Speed	Sight	ReproductiveUrge	LifeSpan	Charm	PregnancyDuration	Status	Starving	Drying
2	DROWN	1,505	7,99548	64	49	5,709754	73	41	SEARCHINGMATE	15	33
2	DROWN	1,505	8,41345	42	44	5,185166	57	36	SEARCHINGMATE	19	30
4	DROWN	2,005	9,245112	66	32	5,675436	69	34	SEARCHINGMATE	20	26
4	DROWN	2,005	9,336439	46	32	5,869432	47	58	SEARCHINGFOOD	16	34
9	DROWN	0,4649997	6,75186	65	48	4,057975	41	35	SEARCHINGFOOD	14	29
9	HUNGER	3,505	8,886526	49	43	5,395403	59	43	SEARCHINGFOOD	19	33
9	HUNGER	3,505	7,894496	49	40	5,198376	72	57	SEARCHINGFOOD	22	30
9	HUNGER	3,505	6,204996	68	30	4,768188	62	47	SEARCHINGFOOD	23	26
9	HUNGER	3,505	8,321898	38	32	5,67317	86	30	WAITING	23	27
9	DROWN	0,2799999	6,354062	40	29	4,997215	89	50	SEARCHINGFOOD	17	31
9	HUNGER	3,505	6,087062	41	36	4,350737	77	55	SEARCHINGFOOD	24	34
9	HUNGER	3,505	6,847081	59	49	4,334205	90	54	MOVING	21	27
9	HUNGER	3,505	4,257024	35	37	4,391743	89	49	MOVING	21	32
9	HUNGER	3,505	7,237002	54	30	4,749124	92	53	WAITING	24	26
9	HUNGER	3,505	3,214764	37	36	4,161129	30	48	MOVING	15	33
9	HUNGER	3,505	3,914936	37	44	5,972609	57	53	SEARCHINGFOOD	18	29
9	HUNGER	3,505	3,221977	32	33	5,234353	95	45	WAITING	22	28
9	HUNGER	3,505	3,280536	61	36	5,893743	86	56	MOVING	20	29
9	HUNGER	3,505	2,83166	65	48	5,100181	68	31	MOVING	22	28
9	HUNGER	3,505	3,078249	63	39	4,503657	86	38	MOVING	18	28
9	HUNGER	3,505	2,215184	68	47	5,562696	24	42	MOVING	16	34
9	HUNGER	3,505	3,79636	61	42	5,121242	57	46	RESTING	20	33
9	HUNGER	3,505	3,750171	36	47	5,92618	52	38	RESTING	19	32
9	HUNGER	3,505	2,830023	62	46	5,962675	68	41	SEARCHINGFOOD	19	33
9	HUNGER	3,505	1,710177	54	32	4,314415	99	58	MOVING	22	30
9	HUNGER	3,505	2,66616	55	40	4,924749	73	49	SEARCHINGFOOD	20	33
9	HUNGER	3,505	2,765957	64	31	5,617256	74	47	MOVING	23	34
9	HUNGER	3,505	1,75347	40	42	4,034066	38	42	SEARCHINGFOOD	19	34
9	HUNGER	3,505	2,342292	56	41	4,421021	41	38	MOVING	24	29
9	HUNGER	3,505	1,307733	34	42	5,247793	46	31	SEARCHINGFOOD	19	27
9	HUNGER	3,505	1,538237	31	48	5,413428	27	48	SEARCHINGFOOD	19	34
