Time,Bunnies
1,100
2,100
3,98
4,112
5,110
6,145
7,190
8,222
9,237
10,213
11,235
12,254
13,255
14,249
15,249
16,245
17,231
18,233
19,225
20,209
21,187
22,183
23,188
24,187
25,186
26,190
27,192
28,188
29,177
30,177
31,181
32,174
33,164
34,163
35,161
36,141
37,149
38,165
39,179
40,164
41,165
42,164
43,156
44,145
45,142
46,152
47,141
48,132
49,137
50,132
51,137
52,135
53,122
54,151
55,143
56,133
57,129
58,124
59,126
60,129
61,132
62,124
63,115
64,136
65,139
66,134
67,138
68,154
69,147
70,132
71,130
72,130
73,128
74,130
75,126
76,114
77,94
78,99
79,98
80,102
81,99
82,104
83,92
84,97
85,96
86,93
87,95
88,98
89,100
90,106
91,99
92,95
93,107
94,107
95,110
96,108
97,104
98,89
99,92
100,94
101,93
102,84
103,78
104,72
105,84
106,80
107,81
108,83
109,78
110,79
111,68
112,63
113,62
114,62
115,65
116,57
117,47
118,40
119,47
120,50
121,49
122,47
123,48
124,47
125,46
126,43
127,40
128,45
129,38
130,42
131,40
132,38
133,31
134,38
135,38
136,45
137,42
138,36
139,44
140,48
141,48
142,44
143,50
144,47
145,55
146,53
147,53
148,48
149,54
150,52
151,59
152,62
153,66
154,65
155,65
156,77
157,90
158,87
159,92
160,93
161,109
162,120
163,120
164,128
165,140
166,161
167,192
168,197
169,207
170,225
171,251
172,266
173,300
174,338
175,367
176,460
177,522
178,553
179,638
180,675
181,755
182,801
183,860
184,938
185,1055
186,1142
187,1222
188,1374
189,1487
190,1645
191,1817
192,2007
193,2196
194,2298
1,100
2,100
3,100
4,100
1,100
2,100
3,99
1,100
2,100
1,100
1,100
2,108
1,100
2,107
3,105
4,105
5,133
6,152
1,1
2,0
3,0
1,1
2,1
3,0
4,0
5,0
1,1
1,100
2,100
1,100
2,100
3,100
4,100
5,115
6,144
7,1
8,8
9,1
10,1
11,1
1,1
1,1
2,1
3,1
1,1
2,1
3,1
4,1
5,1
6,1
1,1
2,1
3,1
1,1
2,1
3,2
1,2
2,2
3,9
4,16
5,16
6,24
7,24
8,23
9,23
1,2
2,2
3,2
4,2
1,1
2,1
3,1
1,1
1,1
1,1
2,1
1,1
1,100
1,100
1,100
2,100
3,100
1,100
2,100
3,100
4,100
5,99
6,98
1,100
1,100
1,100
1,100
1,100
1,100
1,100
2,100
3,100
4,100
1,100
2,100
3,100
1,100
2,100
3,100
4,100
1,100
2,100
3,100
4,99
5,118
6,126
1,100
2,100
3,100
1,100
1,100
2,100
3,98
4,98
5,124
6,159
7,193
1,494
2,494
3,494
4,493
1,100
2,100
3,100
4,98
5,98
6,98
7,98
8,98
9,97
10,91
11,90
12,90
13,88
14,85
15,55
16,55
17,54
18,35
19,32
20,31
21,31
22,31
23,23
1,100
2,100
3,100
4,99
5,98
6,98
1,100
2,100
3,100
4,100
5,100
6,99
7,98
8,97
9,96
10,90
11,96
12,96
13,95
14,94
15,62
16,60
17,59
18,38
19,36
1,100
2,100
3,99
1,100
2,500
3,500
4,496
1,300
2,300
3,298
4,297
5,295
6,293
7,290
8,288
9,287
10,271
11,247
12,243
13,242
14,222
15,206
16,137
17,123
18,108
19,49
1,100
1,100
1,100
1,100
1,100
2,106
3,105
4,104
1,100
1,100
1,100
2,106
3,106
4,105
5,113
6,127
1,100
2,108
3,108
4,105
5,109
6,128
1,100
1,100
2,107
3,106
4,112
5,110
6,124
1,100
2,107
3,107
4,107
5,107
6,114
1,100
2,107
3,107
4,106
1,100
2,107
3,106
4,114
5,113
6,135
1,100
2,108
1,100
1,100
2,100
3,98
1,100
1,100
2,106
3,106
4,106
5,118
6,139
7,190
8,209
9,236
10,237
1,100
2,106
3,106
4,105
5,109
1,100
1,100
1,100
2,106
3,106
4,105
5,118
6,133
7,161
1,100
2,100
3,100
4,100
5,100
6,100
7,99
8,99
9,114
10,121
11,141
1,100
1,100
2,100
3,100
4,100
1,100
2,100
3,99
4,98
5,98
6,117
7,139
8,145
9,175
10,196
11,202
12,209
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
2,100
3,100
4,100
1,100
2,100
3,100
1,100
1,100
2,100
1,100
2,100
3,99
4,99
5,98
1,100
2,100
1,100
2,100
3,99
4,99
1,100
2,100
3,98
4,98
5,97
6,96
1,100
2,100
3,100
4,100
5,99
6,101
7,101
1,100
1,100
1,100
2,100
3,100
4,100
1,100
2,100
3,100
4,100
5,106
6,128
7,128
8,128
1,100
1,100
2,100
3,100
4,100
1,100
2,100
3,100
1,100
1,100
1,100
1,100
1,100
2,100
3,100
1,100
2,100
3,100
4,100
5,107
6,107
7,121
8,141
9,148
1,100
2,100
1,100
2,100
3,100
4,100
5,100
6,116
7,137
8,153
9,153
10,153
11,153
12,150
1,100
1,100
2,100
3,100
4,100
1,100
1,100
2,100
1,100
2,100
3,99
4,97
1,100
1,100
2,100
3,100
4,99
5,99
6,111
7,119
8,133
9,133
10,145
11,144
12,158
13,119
14,102
15,102
16,100
17,99
1,100
1,100
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
1,100
1,0
1,4
1,100
2,100
1,0
1,0
2,0
1,100
1,0
1,100
1,10
1,40
2,40
1,40
