Step	DeathCause	Age	Speed	Sight	ReproductiveUrge	LifeSpan	Charm	PregnancyDuration	Status	Starving	Drying
12	DROWN	2,505	8,029369	67	35	4,656985	98	35	SEARCHINGMATE	20	33
14	DROWN	2,505	2,725211	32	45	5,169928	33	30	SEARCHINGMATE	18	33
14	DROWN	0,2349999	8,54516	46	38	5,455192	78	35	SEARCHINGFOOD	23	27
14	DROWN	0,2349999	9,529151	46	33	5,133697	82	34	SEARCHINGFOOD	21	32
14	DROWN	0,2349999	9,626659	50	37	5,208565	70	35	SEARCHINGFOOD	21	27
14	DROWN	0,2349999	9,32418	51	33	5,574548	69	36	SEARCHINGFOOD	21	30
14	DROWN	0,2349999	9,100831	49	32	5,557771	76	36	SEARCHINGFOOD	19	29
24	HUNGER	3,505	9,942973	56	48	4,167915	35	35	MOVING	22	33
24	HUNGER	3,505	9,930515	38	38	5,186522	74	55	MOVING	17	31
24	HUNGER	3,505	9,211698	49	43	5,492509	77	55	MOVING	22	32
24	HUNGER	3,505	8,97227	34	32	5,718902	76	31	WAITING	23	28
24	HUNGER	3,505	7,606095	51	45	4,273554	96	42	MOVING	22	30
24	HUNGER	3,505	7,940087	40	42	4,357779	64	33	MOVING	20	34
24	HUNGER	3,505	8,28874	34	44	5,904234	76	52	RESTING	21	26
24	HUNGER	3,505	7,182997	66	36	5,99715	91	55	WAITING	17	27
24	HUNGER	3,505	6,574643	31	47	4,352013	42	50	MOVING	24	31
24	HUNGER	3,505	6,879722	63	44	4,835791	60	47	MOVING	16	25
24	HUNGER	3,505	7,466481	50	32	5,057554	77	34	RESTING	17	31
24	HUNGER	3,505	5,750266	59	35	4,767325	85	30	MOVING	22	32
24	HUNGER	3,505	6,62241	39	44	5,323679	38	52	MOVING	19	34
24	HUNGER	3,505	6,443268	68	42	5,456662	86	35	RESTING	16	27
24	HUNGER	3,505	9,431852	37	39	4,500737	93	34	MOVING	22	28
24	HUNGER	3,505	7,00136	31	40	4,651473	45	51	MOVING	22	28
24	HUNGER	3,505	9,973809	32	36	5,510687	54	33	MOVING	23	25
24	HUNGER	3,505	8,468753	39	35	4,910492	81	47	WAITING	15	28
24	HUNGER	3,505	5,758513	31	49	5,923925	27	30	MOVING	15	29
24	HUNGER	3,505	8,90638	46	40	4,977001	69	54	SEARCHINGFOOD	21	34
24	HUNGER	3,505	5,18778	44	49	5,755336	92	32	MOVING	19	27
24	HUNGER	3,505	4,228931	54	39	5,229256	57	54	MOVING	17	30
24	HUNGER	3,505	5,494533	41	44	4,820999	88	44	MOVING	15	30
